LoanAccountId,SourceId,AccountNumber,AccountCurrencyId,AccountCurrency,OrganizationId,OrganizationName,ChannelID,BrokerId,OpenDateId,OpenDate,CancelledDateId,CancelledDate,ValueDate,ProductId,Product,InvoiceDay,CurrentInstallmentAmount,CurrentInvoiceFee,NextInvoiceDate,CalculatedMaturityDate,IsActive,LoanStatus
1,8,001003250055,49,EUR,22,Nordic Finland,29,173,20171017,2017-10-17,20230308,2023-03-08,2019-10-12,293,Nordic CL Unsecured loan,14,63132.0,5,2024-03-14,2026-12-14,0,Cancelled
2,8,001004620017,49,EUR,40,Nordic Finland,28,173,20170523,2017-05-23,-1,,2019-10-12,344,NF1 CL Unsecured loan,14,53704.0,5,2024-03-14,2039-05-14,1,Active
3,8,001005760051,49,EUR,22,Nordic Finland,,166,20190711,2019-07-11,20210901,2021-09-01,2019-10-12,293,Nordic CL Unsecured loan,14,35473.0,5,2024-03-14,2021-08-14,0,Cancelled
4,8,001005760051,49,EUR,22,Nordic Finland,,166,20190711,2019-07-11,20210901,2021-09-01,2019-10-12,293,Nordic CL Unsecured loan,14,35473.0,5,2024-03-14,2021-08-14,0,Cancelled
5,8,001012630057,49,EUR,22,Nordic Finland,27,173,20190918,2019-09-18,-1,,2019-10-12,293,Nordic CL Unsecured loan,14,57713.0,5,2024-03-14,2031-05-14,1,Active
6,8,001013250012,49,EUR,22,Nordic Finland,31,173,20170607,2017-06-07,-1,,2019-10-12,293,Nordic CL Unsecured loan,14,51457.0,5,2024-03-14,2034-03-14,1,Active
7,8,001013310014,49,EUR,40,Nordic Finland,31,173,20170606,2017-06-06,-1,,2019-10-12,344,NF1 CL Unsecured loan,14,51796.0,5,2024-03-14,2037-10-14,1,Active
8,8,001016880013,49,EUR,22,Nordic Finland,27,173,20170620,2017-06-20,-1,,2019-10-12,293,Nordic CL Unsecured loan,14,23452.0,5,2024-03-14,2032-06-14,1,Active
9,8,001027200011,49,EUR,40,Nordic Finland,31,173,20170712,2017-07-12,-1,,2019-10-12,344,NF1 CL Unsecured loan,14,47839.0,5,2024-03-14,2035-08-14,1,Active
10,8,001027840097,49,EUR,40,Nordic Finland,,166,20180625,2018-06-25,-1,,2019-10-12,344,NF1 CL Unsecured loan,14,33596.0,5,2024-03-14,2034-03-14,1,Active
11,8,001027840097,49,EUR,40,Nordic Finland,,166,20180625,2018-06-25,-1,,2019-10-12,344,NF1 CL Unsecured loan,14,33596.0,5,2024-03-14,2034-03-14,1,Active
12,8,001032460014,49,EUR,22,Nordic Finland,31,173,20170726,2017-07-26,-1,,2019-10-12,293,Nordic CL Unsecured loan,14,46317.0,5,2024-03-14,2032-04-14,1,Active
13,8,001055260051,49,EUR,40,Nordic Finland,,174,20190509,2019-05-09,-1,,2019-10-12,344,NF1 CL Unsecured loan,14,55984.0,5,2024-03-14,2035-08-14,1,Active
14,8,001055260051,49,EUR,40,Nordic Finland,,165,20190509,2019-05-09,-1,,2019-10-12,344,NF1 CL Unsecured loan,14,55984.0,5,2024-03-14,2035-08-14,1,Active
15,8,001059610012,49,EUR,40,Nordic Finland,27,173,20171024,2017-10-24,-1,,2019-10-12,344,NF1 CL Unsecured loan,14,45809.0,5,2024-03-14,2030-11-14,1,Active
16,8,001062990013,49,EUR,22,Nordic Finland,,167,20171019,2017-10-19,20230218,2023-02-18,2019-10-12,293,Nordic CL Unsecured loan,14,5205.0,5,2024-03-14,2033-09-14,0,Cancelled
17,8,001062990013,49,EUR,22,Nordic Finland,,167,20171019,2017-10-19,20230218,2023-02-18,2019-10-12,293,Nordic CL Unsecured loan,14,5205.0,5,2024-03-14,2033-09-14,0,Cancelled
18,8,001063800054,49,EUR,40,Nordic Finland,,165,20171214,2017-12-14,-1,,2019-10-12,344,NF1 CL Unsecured loan,14,54272.0,5,2024-03-14,2031-04-14,1,Active
19,8,001063800054,49,EUR,40,Nordic Finland,,165,20171214,2017-12-14,-1,,2019-10-12,344,NF1 CL Unsecured loan,14,54272.0,5,2024-03-14,2031-04-14,1,Active
20,8,001067300093,49,EUR,22,Nordic Finland,,170,20180628,2018-06-28,20210320,2021-03-20,2019-10-12,293,Nordic CL Unsecured loan,14,40672.0,5,2024-03-14,2034-12-14,0,Cancelled
21,8,001067300093,49,EUR,22,Nordic Finland,,170,20180628,2018-06-28,20210320,2021-03-20,2019-10-12,293,Nordic CL Unsecured loan,14,40672.0,5,2024-03-14,2034-12-14,0,Cancelled
22,8,001077250015,49,EUR,40,Nordic Finland,27,173,20171122,2017-11-22,-1,,2019-10-12,344,NF1 CL Unsecured loan,14,57948.0,5,2024-03-14,2028-06-14,1,Active
23,8,001079380018,49,EUR,22,Nordic Finland,,175,20171127,2017-11-27,-1,,2019-10-12,293,Nordic CL Unsecured loan,14,42633.0,5,2024-03-14,2035-10-14,1,Active
24,8,001079380018,49,EUR,22,Nordic Finland,,166,20171127,2017-11-27,-1,,2019-10-12,293,Nordic CL Unsecured loan,14,42633.0,5,2024-03-14,2035-10-14,1,Active
25,8,001081740019,49,EUR,22,Nordic Finland,27,173,20171201,2017-12-01,-1,,2019-10-12,293,Nordic CL Unsecured loan,14,78322.0,5,2024-03-14,2030-05-14,1,Active
26,8,001083450013,49,EUR,22,Nordic Finland,,166,20171207,2017-12-07,20230629,2023-06-29,2019-10-12,293,Nordic CL Unsecured loan,14,49748.0,5,2024-03-14,,0,Cancelled
27,8,001083450013,49,EUR,22,Nordic Finland,,166,20171207,2017-12-07,20230629,2023-06-29,2019-10-12,293,Nordic CL Unsecured loan,14,49748.0,5,2024-03-14,,0,Cancelled
28,8,001085360012,49,EUR,22,Nordic Finland,27,173,20171213,2017-12-13,20230308,2023-03-08,2019-10-12,293,Nordic CL Unsecured loan,14,36419.0,5,2024-03-14,2031-07-14,0,Cancelled
29,8,001085590014,49,EUR,22,Nordic Finland,,165,20171212,2017-12-12,20200221,2020-02-21,2019-10-12,293,Nordic CL Unsecured loan,14,27426.0,5,2024-03-14,2021-10-14,0,Cancelled
30,8,001085590014,49,EUR,22,Nordic Finland,,165,20171212,2017-12-12,20200221,2020-02-21,2019-10-12,293,Nordic CL Unsecured loan,14,27426.0,5,2024-03-14,2021-10-14,0,Cancelled
31,8,001086650015,49,EUR,22,Nordic Finland,28,173,20171215,2017-12-15,20220319,2022-03-19,2019-10-12,293,Nordic CL Unsecured loan,14,35912.0,5,2024-03-14,2034-08-14,0,Cancelled
32,8,001087480016,49,EUR,40,Nordic Finland,,165,20171222,2017-12-22,-1,,2019-10-12,344,NF1 CL Unsecured loan,14,5405.0,5,2024-03-14,2037-03-14,1,Active
33,8,001087480016,49,EUR,40,Nordic Finland,,174,20171222,2017-12-22,-1,,2019-10-12,344,NF1 CL Unsecured loan,14,5405.0,5,2024-03-14,2037-03-14,1,Active
34,8,001099120014,49,EUR,22,Nordic Finland,29,173,20180119,2018-01-19,20220506,2022-05-06,2019-10-12,293,Nordic CL Unsecured loan,14,3976.0,5,2024-03-14,2033-10-14,0,Cancelled
